match_no,runs
1,85
2,65
3,60
4,60
5,25
6,22
7,75
8,75
9,80
10,90
11,40
12,40
13,75
14,55
15,60
16,70
17,85
18,25
19,31
20,0
21,50
22,0
23,35
24,45
25,22
26,50
27,0
28,0
29,75
30,25
31,5
32,45
33,70
34,18
35,50
36,0
37,0
38,45
39,45
40,55
41,65
42,100
43,40
44,25
45,70
46,22
47,35
48,0
49,0
50,100
51,75
52,60
53,31
54,12
55,12
56,18
57,45
58,65
59,55
60,22
61,95
62,65
63,45
64,50
65,35
66,18
67,25
68,70
69,0
70,5
71,0
72,0
73,80
74,60
75,40
76,5
77,40
78,40
79,12
80,35
81,31
82,50
83,55
84,0
85,31
86,50
87,40
88,128
89,0
90,0
91,0
92,55
93,0
94,50
95,95
96,50
97,31
98,55
99,35
100,45
101,95
102,31
103,100
104,90
105,12
106,0
107,5
108,0
109,0
110,60
111,0
112,25
113,80
114,0
115,75
116,22
117,5
118,60
119,55
120,85
121,65
122,75
123,22
124,12
125,65
126,75
127,110
128,31
129,31
130,70
