movie,lead_actor
Iron Man,Robert Downey Jr.
Iron Man 2,Robert Downey Jr.
Iron Man 3,Robert Downey Jr.
The Avengers,Robert Downey Jr.
Avengers: Age of Ultron,Robert Downey Jr.
Avengers: Infinity War,Robert Downey Jr.
Avengers: Endgame,Robert Downey Jr.
Captain America: The First Avenger,Chris Evans
Captain America: The Winter Soldier,Chris Evans
Captain America: Civil War,Chris Evans
Knives Out,Chris Evans
Thor,Chris Hemsworth
Thor: The Dark World,Chris Hemsworth
Thor: Ragnarok,Chris Hemsworth
Thor: Love and Thunder,Chris Hemsworth
Extraction,Chris Hemsworth
Black Widow,Scarlett Johansson
Lucy,Scarlett Johansson
Spider-Man: Homecoming,Tom Holland
Spider-Man: Far From Home,Tom Holland
Spider-Man: No Way Home,Tom Holland
Uncharted,Tom Holland
Spider-Man,Tobey Maguire
Spider-Man 2,Tobey Maguire
Spider-Man 3,Tobey Maguire
The Amazing Spider-Man,Andrew Garfield
The Amazing Spider-Man 2,Andrew Garfield
Doctor Strange,Benedict Cumberbatch
Doctor Strange in the Multiverse of Madness,Benedict Cumberbatch
Black Panther,Chadwick Boseman
Black Panther: Wakanda Forever,Letitia Wright
Guardians of the Galaxy,Chris Pratt
Guardians of the Galaxy Vol. 2,Chris Pratt
Guardians of the Galaxy Vol. 3,Chris Pratt
Ant-Man,Paul Rudd
Ant-Man and the Wasp,Paul Rudd
Ant-Man and the Wasp: Quantumania,Paul Rudd
Deadpool,Ryan Reynolds
Deadpool 2,Ryan Reynolds
Deadpool & Wolverine,Ryan Reynolds
X-Men,Hugh Jackman
X2,Hugh Jackman
X-Men: The Last Stand,Hugh Jackman
The Wolverine,Hugh Jackman
X-Men: Days of Future Past,Hugh Jackman
Logan,Hugh Jackman
X-Men: First Class,James McAvoy
X-Men: Apocalypse,James McAvoy
Dark Phoenix,James McAvoy
Fantastic Four,Ioan Gruffudd
Man of Steel,Henry Cavill
Batman v Superman: Dawn of Justice,Henry Cavill
Justice League,Ben Affleck
Zack Snyder's Justice League,Ben Affleck
Batman Begins,Christian Bale
The Dark Knight,Christian Bale
The Dark Knight Rises,Christian Bale
The Batman,Robert Pattinson
Wonder Woman,Gal Gadot
Wonder Woman 1984,Gal Gadot
Aquaman,Jason Momoa
Aquaman and the Lost Kingdom,Jason Momoa
Shazam!,Zachary Levi
Shazam! Fury of the Gods,Zachary Levi
Joker,Joaquin Phoenix
Joker: Folie a Deux,Joaquin Phoenix
Venom,Tom Hardy
Venom: Let There Be Carnage,Tom Hardy
Venom: The Last Dance,Tom Hardy
Morbius,Jared Leto
Madame Web,Dakota Johnson
Kick-Ass,Aaron Taylor-Johnson
Watchmen,Jackie Earle Haley
Hancock,Will Smith
Hellboy,Ron Perlman
Blade,Wesley Snipes
Blade II,Wesley Snipes
Blade: Trinity,Wesley Snipes
Ghost Rider,Nicolas Cage
Ghost Rider: Spirit of Vengeance,Nicolas Cage
The Incredible Hulk,Edward Norton
Hulk,Eric Bana
Captain Marvel,Brie Larson
The Marvels,Brie Larson
Eternals,Gemma Chan
Shang-Chi and the Legend of the Ten Rings,Simu Liu
Captain America: Brave New World,Anthony Mackie
Thunderbolts*,Florence Pugh
Kraven the Hunter,Aaron Taylor-Johnson
Superman,David Corenswet
Krrish,Hrithik Roshan
Krrish 3,Hrithik Roshan
Ra.One,Shah Rukh Khan
A Flying Jatt,Tiger Shroff
Minnal Murali,Tovino Thomas
